ligand,receptor,ligand_uniprot,receptor_uniprot,y,set
FGF20,FGFR2,Q9NP95,P21802,1,train
TPH1,HTR1B,P17752,P28222,1,train
KNG1,ITGAM,P01042,P11215,1,train
ICAM1,SPRED3,P05362,Q2MJR0,0,train
ADAM15,ERBB3,Q13444,P21860,0,train
IL6,OR8B2,P05231,Q96RD0,0,train
FGF13,CDH13,Q92913,P55290,0,train
EFNA4,EPHA7,P52798,Q15375,1,train
SEMA4A,PLXND1,Q9H3S1,Q9Y4D7,1,train
SOSTDC1,STON2,Q6X4U4,Q8WXE9,0,train
ADM2,VIPR1,Q7Z4H4,P32241,1,train
ULBP1,BEST3,Q9BZM6,Q8N1M1,0,train
HMGB1,TLR9,P09429,Q9NR96,1,train
IBSP,TAS2R9,P21815,Q9NYW1,0,train
NPY,CLEC6A,P01303,Q6EIG7,0,train
CCL5,CCR5,P13501,P51681,1,train
SPP1,TRGJ1,P10451,A0A075B6S0,0,train
APOC2,LRP1,P02655,Q07954,1,train
WNT3,LRP6,P56703,O75581,1,train
NGF,SORT1,P01138,Q99523,1,train
LGALS3BP,ITGB1,Q08380,P05556,1,train
S100A4,FAM241A,P26447,Q8N8J7,0,train
PLG,PLAUR,P00747,Q03405,1,train
WNT2,OR8K1,P09544,Q8NGG5,0,train
GNAI2,CEACAM21,P04899,Q3KPI0,0,train
TNFSF13,TNFRSF1A,O75888,P19438,1,train
OXT,AVPR1A,P01178,P37288,1,train
NPY,PRLHR,P01303,P49683,1,train
CCL14,ELFN2,Q16627,Q5R3F8,0,train
CCL5,MTNR1A,P13501,P48039,1,train
AFDN,EPHA7,P55196,Q15375,1,train
DHH,HHIP,O43323,Q96QV1,1,train
WNT7B,TMED5,P56706,Q9Y3A6,1,train
F9,TMEM185B,P00740,Q9H7F4,0,train
FGF2,SLC31A1,P09038,O15431,0,train
GCG,ADCYAP1R1,P01275,P41586,1,train
CALM3,SELL,P0DP25,P14151,1,train
EFNB3,TIAM1,Q15768,Q13009,0,train
SPP1,ITGA4,P10451,P13612,1,train
COL4A3,IL12RB1,Q01955,P42701,0,train
NID1,PTPRF,P14543,P10586,1,train
TGFB1,EGFR,P01137,P00533,1,train
PTH2,RSPH3,Q96A98,Q86UC2,0,train
AGT,MTNR1A,P01019,P48039,1,train
CCL22,TGFBR3,O00626,Q03167,0,train
GNAI2,CAV1,P04899,Q03135,1,train
EFNA1,AVPR1A,P20827,P37288,0,train
RLN3,NPY6R,Q8WXF3,Q99463,0,train
CCN1,OR52R1,O00622,Q8NGF1,0,train
COL1A1,CLDN1,P02452,O95832,0,train
UCN3,SLC7A9,Q969E3,P82251,0,train
FGF1,PCDHAC2,P05230,Q9Y5I4,0,train
CALCA,CMTM5,P01258,Q96DZ9,0,train
CCL8,CCR3,P80075,P51677,1,train
INHBA,TGFBR3,P08476,Q03167,1,train
NPPB,LHFPL3,P16860,Q86UP9,0,train
CCL5,FAM126B,P13501,Q8IXS8,0,train
QRFP,QRFPR,P83859,Q96P65,1,train
NGF,RARRES1,P01138,P49788,0,train
DCN,ERBB4,P07585,Q15303,1,train
GNAI2,TESK1,P04899,Q15569,0,train
IHH,PGRMC2,Q14623,O15173,0,train
WNT3,RYK,P56703,P34925,1,train
SPINK1,NRSN1,P00995,Q8IZ57,1,train
LAMA4,MTTP,Q16363,P55157,0,train
CXCL11,CCR3,O14625,P51677,1,train
CCL25,SIDT1,O15444,Q9NXL6,0,train
VEGFD,OSBP2,O43915,Q969R2,0,train
FGF2,PTGIR,P09038,P43119,0,train
TPH1,GP1BB,P17752,P13224,0,train
GNAI2,GPR62,P04899,Q9BZJ7,0,train
APOB,LRP1,P04114,Q07954,1,train
GNB3,GABBR2,P16520,O75899,1,train
FGF23,HTR1A,Q9GZV9,P08908,0,train
PLAU,CA14,P00749,Q9ULX7,0,train
S100A9,CD36,P06702,P16671,1,train
GIP,GIPR,P09681,P48546,1,train
COL1A2,CD44,P08123,P16070,1,train
CCL25,OR6C4,O15444,Q8NGE1,0,train
FGB,ZNF385A,P02675,Q96PM9,0,train
ICAM4,RHAG,Q14773,Q02094,1,train
IL16,LRRC8A,Q14005,Q8IWT6,0,train
VEGFC,MPP5,P49767,Q8N3R9,0,train
CXCL8,OR52J3,P10145,Q8NH60,0,train
TGFB2,ENG,P61812,P17813,1,train
PSPN,SDC3,O60542,O75056,1,train
NPY,DPYSL2,P01303,Q16555,0,train
COL1A2,SCNN1B,P08123,P51168,0,train
RTN4,GOLIM4,Q9NQC3,O00461,0,train
GDNF,GFRA2,P39905,O00451,1,train
ZG16B,TLR5,Q96DA0,O60602,1,train
NPW,ADRA2A,Q8N729,P08913,1,train
CALM3,CACNA1C,P0DP25,Q13936,1,train
WNT1,RYK,P04628,P34925,1,train
SLIT2,GPC1,O94813,P35052,1,train
COL4A4,ITGB1,P53420,P05556,1,train
IL1F10,IL1RL2,Q8WWZ1,Q9HB29,1,train
EFNA1,CETN1,P20827,Q12798,0,train
ARTN,GFRA2,Q5T4W7,O00451,1,train
NRTN,SYNJ2,Q99748,O15056,0,train
CFC1,RNF144A,P0CG37,P50876,0,train
EDN3,KEL,P14138,P23276,1,train
FGF1,TMEM236,P05230,Q5W0B7,0,train
LPA,CD200R1,P08519,Q8TD46,0,train
MEPE,RAB23,Q9NQ76,Q9ULC3,0,train
IL6,PRKCI,P05231,P41743,0,train
APOE,ABCA1,P02649,O95477,1,train
FGF10,FGFRL1,O15520,Q8N441,1,train
CCL8,SMIM39,P80075,A0A1B0GW54,0,train
TSHB,MPP2,P01222,Q14168,0,train
IL22,XBP1,Q9GZX6,P17861,0,train
WNT3A,APOLD1,P56704,Q96LR9,0,train
LAMA1,NT5E,P25391,P21589,1,train
FGB,ITGA5,P02675,P08648,1,train
DLL1,LRIT3,O00548,Q3SXY7,0,train
CCL27,PRRT1,Q9Y4X3,Q99946,0,train
GCG,VIPR1,P01275,P32241,1,train
ADAM10,TSPAN14,O14672,Q8NG11,1,train
F2,F2RL2,P00734,O00254,1,train
CSHL1,CDK5R2,Q14406,Q13319,0,train
CALCB,GPR84,P10092,Q9NQS5,1,train
SCT,FLVCR1,P09683,Q9Y5Y0,0,train
HLA-A,MC4R,P04439,P32245,0,train
COL18A1,GPC4,P39060,O75487,1,train
TSHB,MAPK1,P01222,P28482,0,train
GCG,EVL,P01275,Q9UI08,0,train
MMP9,CD44,P14780,P16070,1,train
FGF8,PIK3R6,P55075,Q5UE93,0,train
ASIP,MC5R,P42127,P33032,1,train
CCL4,CNR2,P13236,P34972,1,train
ADAM9,MS4A14,Q13443,Q96JA4,0,train
COL1A2,HRH4,P08123,Q9H3N8,0,train
COL4A3,CD93,Q01955,Q9NPY3,1,train
LRPAP1,SORT1,P30533,Q99523,1,train
SEMA4F,MEGF9,O95754,Q9H1U4,0,train
APOA1,ABCA1,P02647,O95477,1,train
GDF1,ACVR2A,P27539,P27037,1,train
ASIP,F11R,P42127,Q9Y624,1,train
AGRP,MC4R,O00253,P32245,1,train
GNAI2,CXCR2,P04899,P25025,1,train
PCSK9,APLP2,Q8NBP7,Q06481,1,train
LAMC1,ITGA1,P11047,P56199,1,train
NMU,NMUR1,P48645,Q9HB89,1,train
RLN3,RXFP2,Q8WXF3,Q8WXD0,1,train
HSPG2,FGFR1,P98160,P11362,1,train
GNAI2,OPRM1,P04899,P35372,1,train
CNTN4,PTPRG,Q8IWV2,P23470,1,train
AGT,TLN2,P01019,Q9Y4G6,0,train
PRLH,PRLHR,P81277,P49683,1,train
BMP6,BMPR1B,P22004,O00238,1,train
ANGPTL2,TIE1,Q9UKU9,P35590,1,train
FGF2,GABRA5,P09038,P31644,0,train
TSHB,SLC12A7,P01222,Q9Y666,0,train
FGF3,FGFR1,P11487,P11362,1,train
C4BPA,UGT3A1,P04003,Q6NUS8,0,train
C1QTNF5,MFRP,Q9BXJ0,Q9BY79,1,train
FGF3,FGFR4,P11487,P22455,1,train
LACRT,OR13G1,Q9GZZ8,Q8NGZ3,0,train
APOA4,GRIPAP1,P06727,Q4V328,0,train
SCT,ADCYAP1R1,P09683,P41586,1,train
LTBP3,JPH4,Q9NS15,Q96JJ6,0,train
PLAU,APCDD1,P00749,Q8J025,0,train
IGF1,SARM1,P05019,Q6SZW1,0,train
LAMA2,OR1L4,P24043,Q8NGR5,0,train
PCSK9,KCNMB2,Q8NBP7,Q9Y691,0,train
LGALS9,LANCL2,O00182,Q9NS86,0,train
ICAM4,LINC01006,Q14773,Q8NI28,0,train
CDH1,APCDD1L,P12830,Q8NCL9,0,train
CALM1,LRP2,P0DP23,P98164,0,train
GHRL,SLC12A2,Q9UBU3,P55011,0,train
SERPING1,SELP,P05155,P16109,1,train
SCGB3A2,OR5D14,Q96PL1,Q8NGL3,0,train
VEGFA,SLC34A3,P15692,Q8N130,0,train
SEMA3F,RNF43,Q13275,Q68DV7,0,train
SCT,GPR20,P09683,Q99678,1,train
NRG2,SIGLEC9,O14511,Q9Y336,0,train
VEGFA,ITGAV,P15692,P06756,1,train
FGB,SLCO1B7,P02675,G3V0H7,0,train
CALCA,PTH1R,P01258,Q03431,1,train
SST,STMN2,P61278,Q93045,0,train
P4HB,MTTP,P07237,P55157,1,train
IL4,IL2RG,P05112,P31785,1,train
CXCL8,MTNR1A,P10145,P48039,1,train
EFNB2,SPTBN1,P52799,Q01082,0,train
TGFB2,TRAT1,P61812,Q6PIZ9,0,train
HP,CATSPER3,P00738,Q86XQ3,0,train
LTA,TRBV19,P01374,A0A075B6N1,0,train
IFNA5,OR5P3,P01569,Q8WZ94,0,train
FGF1,CD44,P05230,P16070,1,train
PMCH,MTNR1A,P20382,P48039,1,train
DMP1,COLCA1,Q13316,Q6ZS62,0,train
AVP,GPR20,P01185,Q99678,1,train
CXCL17,GPR35,Q6UXB2,Q9HC97,1,train
NTNG2,ITGB8,Q96CW9,P26012,0,train
FGF18,STRC,O76093,Q7RTU9,0,train
LAMA2,CRHR2,P24043,Q13324,0,train
SEMA3C,OR1I1,Q99985,O60431,0,train
FGF8,FGFR1,P55075,P11362,1,train
CALM1,RGS8,P0DP23,P57771,0,train
B2M,KLRC1,P61769,P26715,1,train
B2M,STON1,P61769,Q9Y6Q2,0,train
S100A1,RYR2,P23297,Q92736,1,train
IAPP,OPN1MW2,P10997,P0DN77,0,train
THBS1,TNFRSF11B,P07996,O00300,1,train
TNFSF4,STX19,P23510,Q8N4C7,0,train
WNT7B,HLA-DQA1,P56706,P01909,0,train
FN1,OR52E8,P02751,Q6IFG1,0,train
FGF13,PVRIG,Q92913,Q6DKI7,0,train
SPP1,CD44,P10451,P16070,1,train
CALM1,PIK3C2A,P0DP23,O00443,0,train
TNFSF12,CPLX1,O43508,O14810,0,train
PSPN,ARHGAP5,O60542,Q13017,0,train
C4A,PLEKHG6,P0C0L4,Q3KR16,0,train
SHANK1,ABCA1,Q9Y566,O95477,1,train
FGF13,FGFR1,Q92913,P11362,1,train
APOE,HEPH,P02649,Q9BQS7,0,train
APOE,MFSD5,P02649,Q6N075,0,train
FGF14,KLHL17,Q92915,Q6TDP4,0,train
SYK,LAT,P43405,O43561,1,train
CORT,ANO6,O00230,Q4KMQ2,0,train
DLL1,NOTCH1,O00548,P46531,1,train
LIN7C,AP2A2,Q9NUP9,O94973,0,train
CCL17,CCR4,Q92583,P51679,1,train
ICAM4,CR2,Q14773,P20023,0,train
IFNA13,TRIM3,P01562,O75382,0,train
TAC1,TACR2,P20366,P21452,1,train
APOE,LSR,P02649,Q86X29,1,train
NLGN3,NRXN3,Q9NZ94,Q9Y4C0,1,train
PPBP,TMEM134,P02775,Q9H6X4,0,train
CDH1,ERBB3,P12830,P21860,1,train
RLN2,ADCYAP1R1,P04090,P41586,1,train
LTA,TNFRSF1B,P01374,P20333,1,train
WIF1,RYK,Q9Y5W5,P34925,1,train
GIP,TVP23A,P09681,A6NH52,0,train
L1CAM,TMEM71,P32004,Q6P5X7,0,train
EREG,ERBB3,O14944,P21860,1,train
CALM1,PNPLA3,P0DP23,Q9NST1,0,train
GDF15,RET,Q99988,P07949,1,train
LAMC2,SHANK3,Q13753,Q9BYB0,0,train
BMP2,ACVR2B,P12643,Q13705,1,train
GIP,ADCYAP1R1,P09681,P41586,1,train
CXCL13,MTNR1A,O43927,P48039,1,train
APOE,LRP4,P02649,O75096,1,train
PLG,XCR1,P00747,P46094,0,train
PF4,LMBR1,P02776,Q8WVP7,0,train
ADM,PRKAR1A,P35318,P10644,0,train
CXCL11,CAPRIN2,O14625,Q6IMN6,0,train
IHH,PTCH2,Q14623,Q9Y6C5,1,train
TNC,ITGA5,P24821,P08648,1,train
APP,TMEM190,P05067,Q8WZ59,0,train
LAMB1,ITGA7,P07942,Q13683,1,train
LAMA1,ROCK2,P25391,O75116,0,train
LEFTY2,GNGT1,O00292,P63211,0,train
INHA,ACVR2A,P05111,P27037,1,train
CCL25,LSR,O15444,Q86X29,0,train
PLG,F3,P00747,P13726,1,train
CALM3,GRM7,P0DP25,Q14831,1,train
NPTX1,NPTXR,Q15818,O95502,1,train
ADAM9,ITGA3,Q13443,P26006,1,train
FGF2,SH3BP1,P09038,Q9Y3L3,0,train
SERPINC1,GPC1,P01008,P35052,1,train
CALM1,TRGV1,P0DP23,A0A0A0MS02,0,train
HRAS,CAV1,P01112,Q03135,1,train
PYY,ERBB3,P10082,P21860,0,train
CALM1,OR1Q1,P0DP23,Q15612,0,train
FGF23,FXYD6P3,Q9GZV9,P58550,0,train
PCSK9,SORT1,Q8NBP7,Q99523,1,train
NPPB,SLC26A10,P16860,Q8NG04,0,train
PLAU,PLAUR,P00749,Q03405,1,train
VEGFC,RPS6KC1,P49767,Q96S38,0,train
LIN7C,TAS2R45,Q9NUP9,P59539,0,train
SLIT1,ERAS,O75093,Q7Z444,0,train
APP,ENO2,P05067,P09104,0,train
APP,TNFRSF21,P05067,O75509,1,train
SLIT2,SPATA31C2,O94813,B4DYI2,0,train
ADAM10,GPNMB,O14672,Q14956,1,train
GRN,SKAP1,P28799,Q86WV1,0,train
GAS6,AXL,Q14393,P30530,1,train
PSEN1,TMEM86B,P49768,Q8N661,0,train
LAMA5,ITGA6,O15230,P23229,1,train
COL3A1,TMEM74B,P02461,Q9NUR3,0,train
SCT,PTH1R,P09683,Q03431,1,train
POMC,GRM7,P01189,Q14831,1,train
NLGN2,GRIA3,Q8NFZ4,P42263,0,train
WNT3A,FCAMR,P56704,Q8WWV6,0,train
GIP,VIPR1,P09681,P32241,1,train
FN1,ITGA6,P02751,P23229,1,train
GAS6,TYRO3,Q14393,Q06418,1,train
TGM2,ITGA9,P21980,Q13797,1,train
ASIP,GRIPAP1,P42127,Q4V328,0,train
ADM2,CALCR,Q7Z4H4,P30988,1,train
ZP3,EGFR,P21754,P00533,1,train
FN1,HTR1F,P02751,P30939,0,train
ALKAL1,SLC16A1,Q6UXT8,P53985,0,train
EFNB2,OR6Y1,P52799,Q8NGX8,0,train
IHH,PTCH1,Q14623,Q13635,1,train
CAMP,P2RX7,P49913,Q99572,1,train
VCAM1,MSN,P19320,P26038,1,train
FGF4,FGFR3,P08620,P22607,1,train
LYZ,ITGAL,P61626,P20701,1,train
VEGFC,ITGB1,P49767,P05556,1,train
CXCL9,MTNR1A,Q07325,P48039,1,train
COL5A2,SLC35G5,P05997,Q96KT7,0,train
IFNA4,DLGAP3,P05014,O95886,0,train
SPP1,ITGA9,P10451,Q13797,1,train
F10,F3,P00742,P13726,1,train
CALM1,NGEF,P0DP23,Q8N5V2,0,train
COL4A4,PTK7,P53420,Q13308,0,train
INHBB,FLCN,P09529,Q8NFG4,0,train
VEGFC,ARL3,P49767,P36405,0,train
SEMA3F,PLXNA1,Q13275,Q9UIW2,1,train
INHBB,ACVR2B,P09529,Q13705,1,train
CALM2,PLPP6,P0DP24,Q8IY26,1,train
COL1A1,CDH22,P02452,Q9UJ99,0,train
COL18A1,APMAP,P39060,Q9HDC9,0,train
FGB,ITGAM,P02675,P11215,1,train
CSF2,ITGA9,P04141,Q13797,1,train
BMP7,ACVR1,P18075,Q04771,1,train
APP,LRP1,P05067,Q07954,1,train
CALM3,TCAF1,P0DP25,Q9Y4C2,0,train
LAMC2,ZMYND19,Q13753,Q96E35,0,train
CD14,ITGB1,P08571,P05556,1,train
PTN,ALK,P21246,Q9UM73,1,train
FGA,ITGB2,P02671,P05107,1,train
ASIP,MC3R,P42127,P41968,1,train
EFNA5,EPHB6,P52803,O15197,1,train
CALCA,MFSD14B,P01258,Q5SR56,0,train
TNC,SDC4,P24821,P31431,1,train
EFNA5,EPHA3,P52803,P29320,1,train
HBEGF,CD46,Q99075,P15529,0,train
SERPINE1,IL22RA2,P05121,Q969J5,0,train
PF4,GRM7,P02776,Q14831,1,train
EDN1,EDNRA,P05305,P25101,1,train
SPINK1,EGFR,P00995,P00533,1,train
GDF2,ACVR2B,Q9UK05,Q13705,1,train
IFNA7,SYN1,P01567,P17600,0,train
LHB,ADCYAP1R1,P01229,P41586,1,train
CALM2,PKN1,P0DP24,Q16512,0,train
BDNF,BEX3,P23560,Q00994,1,train
MATN1,ITGA1,P21941,P56199,1,train
PLAU,RIPK1,P00749,Q13546,0,train
LRPAP1,SORL1,P30533,Q92673,1,train
TNFSF10,BAIAP2L2,P50591,Q6UXY1,0,train
VCAM1,ITGB2,P19320,P05107,1,train
RLN3,GPR84,Q8WXF3,Q9NQS5,1,train
ICAM1,OR51V1,P05362,Q9H2C8,0,train
GDNF,MINAR1,P39905,Q9UPX6,0,train
CCL27,MTNR1A,Q9Y4X3,P48039,1,train
EFNA5,EPHA1,P52803,P21709,1,train
GH2,GHR,P01242,P10912,1,train
SEMA4D,DES,Q92854,P17661,0,train
AGTRAP,CD82,Q6RW13,P27701,0,train
CCL8,PTCHD1,P80075,Q96NR3,0,train
VEGFA,PARVB,P15692,Q9HBI1,0,train
SEMA6D,PLXNA1,Q8NFY4,Q9UIW2,1,train
SLIT3,ROBO1,O75094,Q9Y6N7,1,train
ICAM4,ITGAM,Q14773,P11215,1,train
TNC,SLC16A14,P24821,Q7RTX9,0,train
PSEN1,AIF1,P49768,P55008,0,train
NPS,IGDCC4,P0C0P6,Q8TDY8,0,train
IL16,LYPD4,Q14005,Q6UWN0,0,train
ADM,VIPR1,P35318,P32241,1,train
OSM,IL6ST,P13725,P40189,1,train
WNT6,FZD4,Q9Y6F9,Q9ULV1,1,train
IL31,AKR1A1,Q6EBC2,P14550,0,train
DLL1,NOTCH3,O00548,Q9UM47,1,train
BMP4,MYMK,P12644,A6NI61,0,train
HEBP1,HLA-F,Q9NRV9,P30511,0,train
PF4,ACKR1,P02776,Q16570,1,train
BMP2,GPC1,P12643,P35052,1,train
THBS1,WDFY3,P07996,Q8IZQ1,0,train
ALKAL2,P2RX5,Q6UX46,Q93086,0,train
SEMA4F,NRP2,O95754,O60462,1,train
APP,GPC1,P05067,P35052,1,train
COL2A1,ITGA2B,P02458,P08514,1,train
ANGPTL3,CD9,Q9Y5C1,P21926,0,train
IL9,SORT1,P15248,Q99523,0,train
CXCL17,OR8H2,Q6UXB2,Q8N162,0,train
CXCL5,GPR158,P42830,Q5T848,0,train
GDF2,BMPR2,Q9UK05,Q13873,1,train
PROC,PROCR,P04070,Q9UNN8,1,train
APOC3,LRP2,P02656,P98164,1,train
RLN2,GPR84,P04090,Q9NQS5,1,train
CORT,GHSR,O00230,Q92847,1,train
MATN1,OR5D14,P21941,Q8NGL3,0,train
GIP,PTH1R,P09681,Q03431,1,train
HLA-C,TMEM54,P10321,Q969K7,0,train
COL4A5,SWAP70,P29400,Q9UH65,0,train
TNC,IL17RC,P24821,Q8NAC3,0,train
HP,CD163,P00738,Q86VB7,1,train
CCL22,ITSN1,O00626,Q15811,0,train
CXCL9,GRM7,Q07325,Q14831,1,train
NTNG1,SLC4A8,Q9Y2I2,Q2Y0W8,0,train
TNC,CNTN1,P24821,Q12860,1,train
TPH1,KCNC3,P17752,Q14003,0,train
FN1,ITGAV,P02751,P06756,1,train
APOE,SDC2,P02649,P34741,1,train
NPW,WASHC2C,Q8N729,Q9Y4E1,0,train
COL5A1,SDC3,P20908,O75056,1,train
TNF,AJM1,P01375,C9J069,0,train
CXCL13,SLC15A5,O43927,A6NIM6,0,train
GIP,PTPRN,P09681,Q16849,0,train
RLN2,ADRB3,P04090,P13945,1,train
EFNA1,ABCB4,P20827,P21439,0,train
IGFL3,MPL,Q6UXB1,P40238,0,train
ICAM1,CRELD1,P05362,Q96HD1,0,train
FASLG,TNFRSF10B,P48023,O14763,1,train
BTC,BTNL2,P35070,Q9UIR0,0,train
GDF2,ACVR1,Q9UK05,Q04771,1,train
GRN,EGFR,P28799,P00533,1,train
SCT,NPFFR2,P09683,Q9Y5X5,0,train
WNT7A,OR10K2,O00755,Q6IF99,0,train
RTN4,PAQR9,Q9NQC3,Q6ZVX9,0,train
FGF9,EPHX4,P31371,Q8IUS5,0,train
TFPI,SMIM17,P10646,P0DL12,0,train
LHB,CNIH2,P01229,Q6PI25,0,train
NPFF,TM4SF4,O15130,P48230,0,train
PTH2,PTH2R,Q96A98,P49190,1,train
PLG,ALCAM,P00747,Q13740,0,train
COL4A3,NSMF,Q01955,Q6X4W1,0,train
FN1,CACNG6,P02751,Q9BXT2,0,train
NPB,NPBWR1,Q8NG41,P48145,1,train
CD70,GUCY2D,P32970,Q02846,0,train
GPI,ELMO1,P06744,Q92556,0,train
HMGB1,AGER,P09429,Q15109,1,train
HLA-C,CD3D,P10321,P04234,1,train
TNF,TNFRSF21,P01375,O75509,1,train
PF4,TMEM14EP,P02776,Q6UXP3,0,train
SFTPD,ADGRB3,P35247,O60242,0,train
IFNW1,IFNAR2,P05000,P48551,1,train
WNT3A,RYK,P56704,P34925,1,train
COL9A2,MAG,Q14055,P20916,1,train
CXCL6,SLC52A2,P80162,Q9HAB3,0,train
HMGB1,ATP9A,P09429,O75110,0,train
TCTN1,TMEM67,Q2MV58,Q5HYA8,1,train
RARRES2,IQCE,Q99969,Q6IPM2,0,train
GCG,OR9A4,P01275,Q8NGU2,0,train
GIP,OR6F1,P09681,Q8NGZ6,0,train
VTN,NLRP6,P04004,P59044,0,train
TGFB2,MCFD2,P61812,Q8NI22,0,train
CALCB,PTH1R,P10092,Q03431,1,train
IFNE,IFNAR1,Q86WN2,P17181,1,train
WNT3,SERINC4,P56703,A6NH21,0,train
TF,ADRB2,P02787,P07550,1,train
ADAM17,ADD2,P78536,P35612,0,train
PDGFC,PLD5,Q9NRA1,Q8N7P1,0,train
CD14,DPEP3,P08571,Q9H4B8,0,train
GNAI2,CCR5,P04899,P51681,1,train
CCL8,ACKR2,P80075,O00590,1,train
CD99,OR1M1,P14209,Q8NGA1,0,train
LHB,PTH1R,P01229,Q03431,1,train
VEGFA,ITGB3,P15692,P05106,1,train
INSL5,RXFP4,Q9Y5Q6,Q8TDU9,1,train
NRTN,TSPAN33,Q99748,Q86UF1,0,train
COL8A1,TRHDE,P27658,Q9UKU6,0,train
NPS,TSHR,P0C0P6,P16473,1,train
MFAP2,TM4SF20,P55001,Q53R12,0,train
CLEC2B,SPA17,Q92478,Q15506,0,train
CALM1,SLC4A7,P0DP23,Q9Y6M7,0,train
ARF6,PPM1G,P62330,O15355,0,train
CCL5,PPP1R14C,P13501,Q8TAE6,0,train
GNAI2,SLC17A7,P04899,Q9P2U7,0,train
TSHB,ADCYAP1R1,P01222,P41586,1,train
C4A,C3AR1,P0C0L4,Q16581,1,train
COL5A2,ITGA1,P05997,P56199,1,train
ST6GAL1,CSPG4,P15907,Q6UVK1,0,train
TF,LRP2,P02787,P98164,1,train
HRAS,SUCNR1,P01112,Q9BXA5,0,train
LAMA5,ERC2,O15230,O15083,0,train
WNT1,FZD3,P04628,Q9NPG1,1,train
BTC,EGFR,P35070,P00533,1,train
CDH1,ITGAE,P12830,P38570,1,train
TGFB1,ITGB1,P01137,P05556,1,train
AVP,OXTR,P01185,P30559,1,train
COL9A2,ITGB1,Q14055,P05556,1,train
COL3A1,LRRN4CL,P02461,Q8ND94,0,train
IFNA8,RRNAD1,P32881,Q96FB5,0,train
TGFB1,CAV1,P01137,Q03135,1,train
INHA,KCNJ18,P05111,B7U540,0,train
LRPAP1,LRRC3,P30533,Q9BY71,0,train
PF4,OR56B2P,P02776,Q8NGI1,0,train
RLN3,SLC7A7,Q8WXF3,Q9UM01,0,train
IL3,KCND2,P08700,Q9NZV8,0,train
CCL4,OR5B3,P13236,Q8NH48,0,train
GNAI2,OR1I1,P04899,O60431,0,train
CXCL11,ADRA2A,O14625,P08913,1,train
GAL,GRM7,P22466,Q14831,1,train
VTN,ADCY2,P04004,Q08462,0,train
IL10,TMEM154,P22301,Q6P9G4,0,train
NRG1,SLC10A7,Q02297,Q0GE19,0,train
CDH1,LRP5,P12830,O75197,1,train
CGA,TSHR,P01215,P16473,1,train
S100A1,MSN,P23297,P26038,0,train
UCN2,OR2A4,Q96RP3,O95047,0,train
COL1A1,WASH3P,P02452,C4AMC7,0,train
DLL4,OR13C6P,Q9NR61,Q8NH95,0,train
DHH,PTCH2,O43323,Q9Y6C5,1,train
NPY,OCLN,P01303,Q16625,0,train
COL4A1,RHBDF2,P02462,Q6PJF5,0,train
ADAM10,PLEKHA4,O14672,Q9H4M7,0,train
ARPC5,LRP2,O15511,P98164,1,train
FN1,ITGB1,P02751,P05556,1,train
LPA,MPZ,P08519,P25189,0,train
IL2,IL2RG,P60568,P31785,1,train
CFH,ITGAM,P08603,P11215,1,train
SERPINE1,LRP1,P05121,Q07954,1,train
L1CAM,CNTN1,P32004,Q12860,1,train
FGA,MS4A18,P02671,Q3C1V0,0,train
GNAI2,TECTA,P04899,O75443,0,train
NTF4,FPR3,P34130,P25089,0,train
PCSK9,OR1E1,Q8NBP7,P30953,0,train
CXCL13,EPOR,O43927,P19235,0,train
TPH1,HTR5A,P17752,P47898,1,train
CXCL2,MTNR1A,P19875,P48039,1,train
SEMA6A,PLXNA2,Q9H2E6,O75051,1,train
TNF,ABCC4,P01375,O15439,0,train
LIPC,IGFLR1,P11150,Q9H665,0,train
APOE,SLC19A2,P02649,O60779,0,train
TGFB1,ITGB3,P01137,P05106,1,train
ADM,HSPB11,P35318,Q9Y547,0,train
NMU,NMUR2,P48645,Q9GZQ4,1,train
VCAN,FZD4,P13611,Q9ULV1,0,train
CALCB,PPM1B,P10092,O75688,0,train
IL20,IL22RA1,Q9NYY1,Q8N6P7,1,train
DLL3,SMIM19,Q9NYJ7,Q96E16,0,train
RLN2,TMEM67,P04090,Q5HYA8,0,train
APP,ADRA2A,P05067,P08913,1,train
ADAM10,TSPAN10,O14672,Q9H1Z9,1,train
CCL21,DDN,O00585,O94850,0,train
FST,BMPR2,P19883,Q13873,1,train
GHRL,GPBAR1,Q9UBU3,Q8TDU6,0,train
FN1,ACKR3,P02751,P25106,0,train
TNFSF13B,TMEM50A,Q9Y275,O95807,0,train
ADAM10,TMEM74B,O14672,Q9NUR3,0,train
HP,TLR4,P00738,O00206,1,train
JAG1,TENM2,P78504,Q9NT68,0,train
IFNA21,IFNAR1,P01568,P17181,1,train
ITIH2,FCER1A,P19823,P12319,1,train
PYY,KIF1A,P10082,Q12756,0,train
ACTR2,CATSPER4,P61160,Q7RTX7,0,train
CCN6,MYO18A,O95389,Q92614,0,train
EFNA4,TRAV8-6,P52798,A0A0B4J262,0,train
GDF2,PTK2B,Q9UK05,Q14289,0,train
HRG,DENND2B,P04196,P78524,0,train
NODAL,KIF1B,Q96S42,O60333,0,train
CCL25,ADRA2A,O15444,P08913,1,train
NMB,AQP6,P08949,Q13520,0,train
ICAM4,LYPD6B,Q14773,Q8NI32,0,train
CCL16,OR4D6,O15467,Q8NGJ1,0,train
HSP90B1,SIGLEC8,P14625,Q9NYZ4,0,train
